topic_id,topic_title,suggested_day_number,day_title,confidence
topic-01-001,VS Code,299,Terraform Cloud & tfsec,low - verify manually
topic-01-002,Bash,75,Radix UI & shadcn/ui,low - verify manually
topic-01-003,nvm + npm,4,nvm + npm Fundamentals,medium
topic-01-004,SSH Keys,294,tsup & Bundle Analysis,low - verify manually
topic-01-006,HTML5,299,Terraform Cloud & tfsec,low - verify manually
topic-01-007,CSS3,317,RFCs & DORA Metrics,low - verify manually
topic-01-067,SQL Fundamentals,4,nvm + npm Fundamentals,medium
topic-01-069,Conventional Commits,45,"Conventional Commits, ESLint & Prettier",medium
topic-01-070,ESLint,45,"Conventional Commits, ESLint & Prettier",low - verify manually
topic-01-071,Prettier,45,"Conventional Commits, ESLint & Prettier",low - verify manually
topic-01b-tbl01,generics,317,RFCs & DORA Metrics,low - verify manually
topic-01b-tbl02,discriminated unions,36,"tsconfig Deep Dive, Type Narrowing & Discriminated Unions",medium
topic-01b-tbl03,conditional types,38,"Built-in Utility Types, Mapped Types & Conditional Types",medium
topic-01b-tbl04,mapped types,192,React Email: Component-Based Email Templates,low - verify manually
topic-01b-tbl05,utility types,312,Multi-Tenancy,low - verify manually
topic-01b-tbl06,template literal types,39,"Template Literal Types, .d.ts Files & Runtime Validation with Zod",medium
topic-01b-tbl07,satisfies operator,317,RFCs & DORA Metrics,medium
topic-01b-tbl08,as const,86,React Context Revisited & Zustand,low - verify manually
topic-01b-tbl09,type narrowing,36,"tsconfig Deep Dive, Type Narrowing & Discriminated Unions",low - verify manually
topic-01b-tbl10,tsconfig.json,106,"PostgreSQL: Transactions, Advanced Querying & JSONB",low - verify manually
topic-01b-tbl11,declaration files (.d.ts),292,"Phase Exit Capstone ""Bastion"": Full Security & Load-Testing Audit",low - verify manually
topic-01b-tbl12,zod,299,Terraform Cloud & tfsec,low - verify manually
topic-02-017,Route Groups,86,React Context Revisited & Zustand,low - verify manually
topic-02-018,notFound(),4,nvm + npm Fundamentals,low - verify manually
topic-02-019,Parallel Routes,69,CivicBoard: Department Dashboard with Parallel Routes,medium
topic-02-020,Intercepting Routes,186,PgBouncer: Connection Pooling for PostgreSQL,medium
topic-02-021,revalidatePath(),61,"revalidatePath(), revalidateTag() & Stage 3 Project Sprint",medium
topic-02-022,revalidateTag(),61,"revalidatePath(), revalidateTag() & Stage 3 Project Sprint",medium
topic-02-026,HydrationBoundary and dehydrate(),63,Client-Side Data Fetching Libraries & Hydration Boundary,low - verify manually
topic-02-027,Vercel,299,Terraform Cloud & tfsec,low - verify manually
topic-02-028,Vercel Edge Functions,64,"Vercel Deployment, Edge Functions/Runtime, plaiceholder & GitHub Pages",medium
topic-02-029,Vercel Edge Runtime,64,"Vercel Deployment, Edge Functions/Runtime, plaiceholder & GitHub Pages",medium
topic-03-001,CSS Custom Properties,72,"CSS Foundations: Custom Properties, @layer, CSS Modules & BEM",medium
topic-03-003,CSS Modules,21,Meta-programming Synthesis & ES Modules,medium
topic-03-004,BEM (Block Element Modifier),24,DOM Manipulation & Event Handling,low - verify manually
topic-03-005,Tailwind CSS,73,"Tailwind CSS: Utility Model, Layout, Theming & Build",low - verify manually
